City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.1927,168.8643,66.15,52,82,1.63,broken clouds
1,Hermanus,ZA,-34.4187,19.2345,54.81,89,98,7.34,overcast clouds
2,New Norfolk,AU,-42.7826,147.0587,62.71,68,64,1.01,broken clouds
3,Chokurdakh,RU,70.6333,147.9167,32.95,68,91,13.49,overcast clouds
4,Porto Belo,BR,-27.1578,-48.5531,58.15,92,100,7.25,overcast clouds
5,Mar Del Plata,AR,-38.0023,-57.5575,55.09,97,75,8.05,mist
6,Vaini,TO,-21.2,-175.2,73.56,100,100,6.91,moderate rain
7,Lagoa,PT,39.05,-27.9833,69.84,70,100,20.83,overcast clouds
8,Ushuaia,AR,-54.8,-68.3,46.06,61,75,2.3,broken clouds
9,Puerto Ayora,EC,-0.7393,-90.3518,66.54,95,100,8.99,overcast clouds
10,Sitka,US,57.0531,-135.33,55.29,88,100,3.44,overcast clouds
11,Barrow,US,71.2906,-156.7887,28.42,86,100,10.36,overcast clouds
12,Santa Helena De Goias,BR,-17.8136,-50.5969,79.12,57,92,4.07,overcast clouds
13,Qaanaaq,GL,77.484,-69.3632,30.63,86,100,8.63,overcast clouds
14,Ojinaga,MX,29.5667,-104.4167,83.35,42,40,12.66,scattered clouds
15,Souillac,MU,-20.5167,57.5167,68.38,94,40,16.11,light rain
16,Laguna,US,38.421,-121.4238,90.45,37,0,5.75,clear sky
17,Ancud,CL,-41.8697,-73.8203,50.23,91,100,20.69,moderate rain
18,Ust-Koksa,RU,50.2696,85.6108,60.15,39,56,1.3,broken clouds
19,Katsuura,JP,35.1333,140.3,77.58,65,4,7.4,clear sky
20,La Asuncion,VE,11.0333,-63.8628,82.13,89,74,12.66,broken clouds
21,East London,ZA,-33.0153,27.9116,65.86,75,100,3.06,overcast clouds
22,Salinas,US,36.6777,-121.6555,65.48,78,100,10.36,overcast clouds
23,Ciudad Bolivar,VE,8.1222,-63.5497,78.58,84,100,4.07,overcast clouds
24,Hobart,AU,-42.8794,147.3294,63.05,56,75,4.61,broken clouds
25,Saint-Pierre,RE,-21.3393,55.4781,65.88,72,0,10.36,clear sky
26,Atuona,PF,-9.8,-139.0333,77.4,76,27,20.33,scattered clouds
27,Port Alfred,ZA,-33.5906,26.891,59.18,88,100,1.01,overcast clouds
28,Ialibu,PG,-6.2821,143.9935,75.83,33,100,5.37,overcast clouds
29,Aden,YE,12.7794,45.0367,88.23,66,77,7.61,broken clouds
30,Marsh Harbour,BS,26.5412,-77.0636,84.02,70,15,9.19,few clouds
31,Saint George,US,37.1041,-113.5841,88.39,13,0,6.91,clear sky
32,Kapaa,US,22.0752,-159.319,84.52,72,20,6.91,few clouds
33,Touros,BR,-5.1989,-35.4608,76.24,79,0,13.29,clear sky
34,Punta Arenas,CL,-53.15,-70.9167,46.51,66,75,8.05,light rain
35,Saldanha,ZA,-33.0117,17.9442,55.45,88,100,8.03,overcast clouds
36,Henties Bay,NA,-22.116,14.2845,54.12,84,56,4.9,broken clouds
37,Ahipara,NZ,-35.1667,173.1667,64.06,66,96,15.1,overcast clouds
38,Yellowknife,CA,62.456,-114.3525,41.56,87,20,2.3,few clouds
39,Codrington,AU,-38.2667,141.9667,51.91,96,100,5.5,overcast clouds
40,Kanchanaburi,TH,14.6333,99.1,75.11,95,100,1.43,overcast clouds
41,Papara,BR,-3.9839,-38.7273,79.2,90,2,4.52,clear sky
42,Vostok,RU,46.4856,135.8833,62.62,54,7,7.29,clear sky
43,Leningradskiy,RU,69.3833,178.4167,33.28,94,100,6.82,light snow
44,Maniitsoq,GL,65.4167,-52.9,41.9,88,100,7.36,light rain
45,Romitan,UZ,39.9343,64.3814,58.95,58,0,2.3,clear sky
46,Upernavik,GL,72.7868,-56.1549,33.19,65,98,8.1,overcast clouds
47,Gujranwala,PK,32.1617,74.1883,73.45,81,52,6.08,broken clouds
48,Thompson,CA,55.7435,-97.8558,33.96,86,0,3.44,clear sky
49,Busselton,AU,-33.65,115.3333,59.29,65,0,4.07,clear sky
50,Bengkulu,ID,-3.8004,102.2655,79.56,78,97,4.9,overcast clouds
51,Cape Town,ZA,-33.9258,18.4232,58.08,84,40,4.61,scattered clouds
52,Torbay,CA,47.6666,-52.7314,51.17,87,0,11.5,clear sky
53,Dergaon,IN,26.7,93.9667,79.29,80,73,4.74,broken clouds
54,Peniche,PT,39.3558,-9.3811,61.11,85,0,17.16,clear sky
55,Lorengau,PG,-2.0226,147.2712,86.04,61,0,10.51,clear sky
56,Hasaki,JP,35.7333,140.8333,82.29,70,4,12.93,clear sky
57,Pisco,PE,-13.7,-76.2167,59.05,82,0,12.66,smoke
58,Norman Wells,CA,65.282,-126.8329,46.44,61,40,2.3,scattered clouds
59,Dikson,RU,73.5069,80.5464,32.68,81,100,17.45,overcast clouds
60,Isangel,VU,-19.55,169.2667,81.79,67,6,2.28,clear sky
61,Provideniya,RU,64.3833,-173.3,41.36,75,100,8.99,light intensity shower rain
62,Hofn,IS,64.2539,-15.2082,41.2,50,0,18.32,clear sky
63,Thap Than,TH,15.4606,99.8917,76.05,94,100,3.74,overcast clouds
64,Wuwei,CN,37.9281,102.6414,67.46,27,100,4.34,overcast clouds
65,Rikitea,PF,-23.1203,-134.9692,68.86,60,0,14.09,clear sky
66,Staraya Mayna,RU,54.6,48.95,48.31,82,98,10.4,overcast clouds
67,Sao Filipe,CV,14.8961,-24.4956,77.76,76,3,5.21,clear sky
68,Parsabad,IR,39.6482,47.9174,60.15,79,0,1.45,clear sky
69,Ternate,ID,0.8,127.4,82.94,73,61,7.87,broken clouds
70,Jamestown,US,42.097,-79.2353,56.01,77,100,12.66,heavy intensity rain
71,Chengdu,CN,30.6667,104.0667,71.94,100,75,2.24,broken clouds
72,Le Moule,GP,16.3332,-61.3473,77.04,100,79,13.49,broken clouds
73,Alta Floresta,BR,-9.8756,-56.0861,71.4,95,96,5.55,overcast clouds
74,Khatanga,RU,71.9667,102.5,27.82,93,100,13.67,overcast clouds
75,Tuktoyaktuk,CA,69.4541,-133.0374,32.0,80,100,9.22,overcast clouds
76,Agadir,MA,30.4202,-9.5982,68.45,87,99,3.22,overcast clouds
77,Othaya,KE,-0.5652,36.9609,55.58,95,98,1.83,overcast clouds
78,Bidor,MY,4.1139,101.2884,85.93,66,99,4.52,overcast clouds
79,Arraial Do Cabo,BR,-22.9661,-42.0278,68.61,83,60,18.14,broken clouds
80,Victoria,HK,22.2855,114.1577,87.96,69,18,5.01,few clouds
81,Rincon,US,32.296,-81.2354,78.85,73,20,9.22,few clouds
82,Hay River,CA,60.8156,-115.7999,49.98,62,75,4.61,broken clouds
83,Meulaboh,ID,4.1363,96.1285,81.55,74,100,2.17,overcast clouds
84,Chaiya,TH,9.3862,99.1986,84.18,70,99,4.92,overcast clouds
85,Gambela,ET,8.25,34.5833,69.12,97,100,6.71,moderate rain
86,Panguna,PG,-6.3164,155.4848,75.7,86,91,1.25,moderate rain
87,Ribeira Grande,PT,38.5167,-28.7,71.11,72,68,15.99,broken clouds
88,Sorong,ID,-0.8833,131.25,83.01,73,100,4.43,overcast clouds
89,Hithadhoo,MV,-0.6,73.0833,81.37,73,100,13.11,moderate rain
90,Tiksi,RU,71.6872,128.8694,35.06,76,100,24.18,overcast clouds
91,Ketchikan,US,55.3422,-131.6461,57.67,94,100,12.66,mist
92,Talcahuano,CL,-36.7167,-73.1167,51.48,82,0,2.3,clear sky
93,Tazovskiy,RU,67.4667,78.7,29.01,78,59,18.54,broken clouds
94,Iqaluit,CA,63.7506,-68.5145,29.93,86,0,6.91,clear sky
95,Verkhnyaya Inta,RU,65.9811,60.3094,29.84,67,57,7.18,broken clouds
96,Vila Velha,BR,-20.3297,-40.2925,67.95,92,75,3.44,broken clouds
97,Cururupu,BR,-1.8283,-44.8683,75.02,87,13,3.78,few clouds
98,Poso,ID,-1.3959,120.7524,88.74,48,95,4.41,overcast clouds
99,Soyo,AO,-6.1349,12.3689,73.96,86,99,10.56,overcast clouds
100,Labuhan,ID,-6.8844,112.2051,86.61,56,23,8.52,few clouds
101,Cabo San Lucas,MX,22.8909,-109.9124,87.1,75,0,9.22,clear sky
102,Saint-Philippe,RE,-21.3585,55.7679,65.79,81,55,12.84,broken clouds
103,Umm Kaddadah,SD,13.6017,26.6876,86.31,37,100,9.86,overcast clouds
104,Vacaria,BR,-28.5122,-50.9339,53.67,83,100,7.81,overcast clouds
105,Beringovskiy,RU,63.05,179.3167,38.66,54,3,16.04,clear sky
106,Albany,US,42.6001,-73.9662,61.21,92,96,3.85,overcast clouds
107,Dwarka,IN,22.2394,68.9678,81.05,66,55,6.44,broken clouds
108,Buritis,BR,-15.6178,-46.4233,73.11,67,100,1.79,overcast clouds
109,Oranjemund,NA,-28.55,16.4333,52.32,85,1,7.18,clear sky
110,Kedrovyy,RU,56.1667,91.8167,37.87,99,100,6.31,overcast clouds
111,Yagodnoye,RU,62.55,149.6667,36.52,62,17,2.57,few clouds
112,Antofagasta,CL,-23.65,-70.4,56.48,66,12,9.44,few clouds
113,Hilo,US,19.7297,-155.09,82.26,73,0,8.05,clear sky
114,Butaritari,KI,3.0707,172.7902,81.91,73,97,9.53,light rain
115,Chuy,UY,-33.6971,-53.4616,58.42,84,100,11.43,overcast clouds
116,Mineiros,BR,-17.5694,-52.5511,75.74,59,10,8.03,clear sky
117,Yaan,NG,7.3833,8.5667,71.83,98,100,6.17,moderate rain
118,Forecariah,GN,9.4306,-13.0881,73.04,97,100,2.3,light rain
119,San Joaquin,US,37.9333,-121.3011,86.52,40,0,10.36,clear sky
120,Kralendijk,BQ,12.15,-68.2667,84.18,74,20,13.8,few clouds
121,Nikolskoye,RU,59.7035,30.7861,46.29,97,99,2.57,overcast clouds
122,Valparaiso,CL,-33.0393,-71.6273,47.84,87,20,3.44,few clouds
123,Camacha,PT,33.0833,-16.3333,67.42,64,20,12.66,few clouds
124,Bredasdorp,ZA,-34.5322,20.0403,52.59,95,100,1.66,overcast clouds
125,Ponta Do Sol,PT,32.6667,-17.1,70.72,75,19,9.53,few clouds
126,Tuatapere,NZ,-46.1333,167.6833,61.65,59,73,2.26,broken clouds
127,Shashi,CN,30.3072,112.2447,79.27,51,6,0.92,clear sky
128,Ribeira Brava,PT,32.65,-17.0667,70.72,77,26,9.93,scattered clouds
129,Akkermanovka,RU,51.2467,58.2391,42.58,66,63,15.52,broken clouds
130,Hambantota,LK,6.1241,81.1185,79.14,94,100,3.44,overcast clouds
131,Salalah,OM,17.0151,54.0924,78.06,88,26,5.77,scattered clouds
132,Canon City,US,38.441,-105.2424,66.61,39,0,3.44,clear sky
133,Puerto Triunfo,CO,5.8726,-74.6403,75.43,87,100,1.41,overcast clouds
134,Marsa Matruh,EG,31.3525,27.2453,75.4,73,0,10.36,clear sky
135,Kargasok,RU,59.0556,80.8572,30.56,87,100,11.32,overcast clouds
136,Kamenka,RU,51.3223,42.7678,43.88,88,54,12.1,broken clouds
137,Kaitangata,NZ,-46.2817,169.8464,61.23,64,86,6.08,overcast clouds
138,Tasiilaq,GL,65.6145,-37.6368,41.16,65,100,2.35,overcast clouds
139,Campbell River,CA,50.0163,-125.2446,71.13,68,20,0.0,few clouds
140,Bathsheba,BB,13.2167,-59.5167,81.21,89,20,16.11,few clouds
141,Ningxiang,CN,37.34,111.2052,70.54,36,0,5.55,clear sky
142,Georgetown,MY,5.4112,100.3354,85.93,73,20,3.44,few clouds
143,San Quintin,MX,30.4833,-115.95,74.12,74,10,17.98,clear sky
144,San Cristobal,VE,7.7669,-72.225,71.78,93,55,1.95,broken clouds
145,Kieta,PG,-6.2167,155.6333,82.69,77,65,3.98,light rain
146,Teruel,ES,40.6667,-0.6667,45.5,64,61,3.31,broken clouds
147,Lakes Entrance,AU,-37.8811,147.981,66.16,61,99,6.31,overcast clouds
148,Cherskiy,RU,68.75,161.3,35.78,52,10,4.79,clear sky
149,Belmonte,BR,-15.8631,-38.8828,73.11,92,77,8.77,broken clouds
150,Saysain,PH,14.5611,120.3925,77.09,84,100,12.24,moderate rain
151,Cartagena Del Chaira,CO,1.3349,-74.8429,75.34,76,100,2.06,overcast clouds
152,Bambous Virieux,MU,-20.3428,57.7575,69.22,94,40,16.11,light rain
153,Kloulklubed,PW,7.0419,134.2556,82.9,73,100,10.76,overcast clouds
154,Luderitz,NA,-26.6481,15.1594,52.77,80,0,5.86,clear sky
155,Mogadishu,SO,2.0371,45.3438,77.29,86,56,12.68,broken clouds
156,Avarua,CK,-21.2078,-159.775,78.85,73,68,11.5,broken clouds
157,Saint-Francois,FR,46.4154,3.9054,45.68,100,100,3.44,fog
158,Chifeng,CN,42.2683,118.9636,77.4,18,0,6.53,clear sky
159,San Ramon De La Nueva Oran,AR,-23.1322,-64.326,68.43,45,0,2.53,clear sky
160,Port Elizabeth,ZA,-33.918,25.5701,61.32,86,20,6.91,few clouds
161,Bluff,NZ,-46.6,168.3333,55.6,74,66,5.28,broken clouds
162,Saint Anthony,US,45.0205,-93.218,60.69,51,20,19.57,few clouds
163,Along,IN,28.1667,94.7667,80.83,70,93,0.51,overcast clouds
164,Sloboda,RU,51.1421,40.3021,45.39,81,68,11.68,broken clouds
165,Wajir,KE,1.7471,40.0573,74.25,79,29,13.56,scattered clouds
166,Srednekolymsk,RU,67.45,153.6833,39.87,52,54,9.69,broken clouds
167,Puerto Escondido,MX,15.85,-97.0667,79.63,65,100,3.44,thunderstorm
168,Guerrero Negro,MX,27.9769,-114.0611,74.37,81,1,14.23,clear sky
169,Crixas,BR,-14.5489,-49.9692,74.84,69,99,3.56,overcast clouds
170,Normandin,CA,48.8333,-72.5321,50.31,93,96,3.44,overcast clouds
171,Vila Franca Do Campo,PT,37.7167,-25.4333,68.41,78,77,10.69,broken clouds
172,Pevek,RU,69.7008,170.3133,32.7,65,26,3.49,scattered clouds
173,Buraydah,SA,26.326,43.975,72.05,37,1,6.98,clear sky
174,Pacific Grove,US,36.6177,-121.9166,63.21,87,100,4.61,overcast clouds
175,Kirakira,SB,-10.4544,161.9205,83.05,76,21,1.28,few clouds
176,Puerto Rico,AR,-26.796,-55.024,60.21,99,100,4.23,overcast clouds
177,Qaqortoq,GL,60.7167,-46.0333,46.89,99,100,2.13,moderate rain
178,Komsomolskiy,UZ,40.4272,71.7189,66.92,32,0,6.91,clear sky
179,Makakilo City,US,21.3469,-158.0858,82.0,74,100,10.36,light rain
180,Biloela,AU,-24.4167,150.5,83.19,30,0,4.45,clear sky
181,Effingham,US,32.3669,-81.3332,75.15,76,27,6.64,scattered clouds
182,Yulara,AU,-25.2406,130.9889,76.39,38,37,15.1,scattered clouds
183,Staryy Nadym,RU,65.6118,72.6842,30.15,91,58,11.18,broken clouds
184,Tezu,IN,27.9167,96.1667,78.46,77,92,2.15,overcast clouds
185,Jalu,LY,29.0331,21.5482,72.68,67,0,7.76,clear sky
186,Flin Flon,CA,54.7682,-101.865,45.48,47,100,3.98,overcast clouds
187,Lillooet,CA,50.6856,-121.942,68.95,64,6,1.74,clear sky
188,Alofi,NU,-19.0595,-169.9187,78.69,73,100,3.44,overcast clouds
189,Zhigansk,RU,66.7697,123.3711,33.17,99,100,1.48,light snow
190,Koundara,GN,12.4833,-13.3,73.17,98,100,4.18,light rain
191,Monrovia,LR,6.3005,-10.7969,73.67,93,100,6.78,moderate rain
192,Castro,BR,-24.7911,-50.0119,51.62,90,99,4.61,overcast clouds
193,Lingao,CN,19.9103,109.6859,83.91,71,77,9.84,broken clouds
194,Shahrud,IR,36.4182,54.9763,61.18,75,0,7.47,clear sky
195,Vostochnyy,RU,55.8167,37.8667,44.89,89,99,4.25,overcast clouds
196,Ostrovnoy,RU,68.0531,39.5131,39.38,83,99,9.53,overcast clouds
197,Olafsvik,IS,64.8945,-23.7142,44.19,55,2,5.77,clear sky
198,Waipawa,NZ,-41.4122,175.5153,56.12,59,100,11.63,overcast clouds
199,Latung,PH,5.5,120.8833,84.09,71,97,11.18,overcast clouds
200,Margate,GB,51.3813,1.3862,53.91,76,100,5.01,overcast clouds
201,Polunochnoye,RU,60.8697,60.4153,27.36,79,7,7.38,clear sky
202,Port Hedland,AU,-20.3167,118.5667,86.05,21,2,21.85,clear sky
203,Baijiantan,CN,45.6333,85.1833,83.79,18,0,6.91,clear sky
204,Powell,US,40.1578,-83.0752,60.8,83,75,5.75,broken clouds
205,Saskylakh,RU,71.9167,114.0833,33.73,73,100,16.46,overcast clouds
206,Dapaong,TG,10.8639,0.205,73.74,80,100,4.99,overcast clouds
207,Stykkisholmur,IS,65.0757,-22.7297,42.89,73,64,7.16,broken clouds
208,Bururi,BI,-3.85,29.6333,60.28,63,63,4.83,broken clouds
209,Gari,RU,59.4307,62.3497,29.68,76,7,12.64,clear sky
210,Adrar,MR,20.5022,-10.0711,88.63,37,50,12.93,scattered clouds
211,Arlit,NE,18.7369,7.3853,92.25,14,45,6.53,scattered clouds
212,San Patricio,US,28.017,-97.5169,84.06,64,27,7.56,scattered clouds
213,Carnarvon,AU,-24.8667,113.6333,71.06,36,0,19.98,clear sky
214,Buala,SB,-8.145,159.5921,83.3,71,98,1.97,light rain
215,Pacifica,US,37.6138,-122.4869,70.23,89,20,18.41,few clouds
216,Quatre Cocos,MU,-20.2078,57.7625,69.1,82,19,15.95,light rain
217,Darhan,MN,49.4867,105.9228,53.01,47,100,6.69,overcast clouds
218,Requena,ES,39.4883,-1.1004,56.52,63,43,7.27,scattered clouds
219,Ilulissat,GL,69.2167,-51.1,39.22,56,100,6.91,overcast clouds
220,Liverpool,GB,53.4106,-2.9779,57.81,90,75,16.11,broken clouds
221,Kemijarvi,FI,66.7131,27.4306,39.02,91,100,5.61,overcast clouds
222,Dongsheng,CN,39.8161,109.9776,67.19,34,1,10.87,clear sky
223,Angicos,BR,-5.6656,-36.6011,75.24,66,1,18.25,clear sky
224,Matara,LK,5.9485,80.5353,80.42,82,99,10.76,overcast clouds
225,Sassandra,CI,4.95,-6.0833,72.84,96,100,7.4,light rain
226,Vao,NC,-22.6667,167.4833,74.35,78,0,7.76,clear sky
227,Canutama,BR,-6.5339,-64.3831,80.96,46,32,1.72,scattered clouds
228,Hede,CN,33.7681,120.2517,76.14,44,17,7.31,few clouds
229,Constitucion,CL,-35.3333,-72.4167,48.09,77,100,6.67,overcast clouds
230,Nome,US,64.5011,-165.4064,51.87,59,75,12.66,broken clouds
